Rajzszám;Megnevezés;súly/darab (kg);darab/_beszállítói doboz;hossz (mm);szél (mm);mag (mm);F9;BETÁROLÁSI Láda Típusa;Betárolási QTY;KITÁROLÁSI Láda Típusa;KITÁROLÁSI QTY;Betároláskor Preferált AKL;;BETÁROLÁSI DARABSÚLY;besz. doboz darabszáma / paletta;Teljes darabszám a palettában;csomag/ beszállítói doboz;darabszám / csomag;;Zóna/Tálca;Program;BE CS/ KI CS;BE CS/ KI NCS;BE NCS / KI NCS;Alkatrész csomagolása a dobozban
CG5E8CRPAA02;Fronthead tömítés;0,0038;1000;300;300;130;40;;1000;LF321;800;AKL1;;4,8;40;40000;;;;B1;HV14;;;;
CG5E8CRPBA02;Fronthead tömítés;0,004056;1000;350;300;130;40;;1000;LF321;800;AKL1;;5,056;40;40000;;;;B1;HV17;;;;
CT100CRPAA02;Hosszúcsavar;0,0254;450;345;245;110;40;;450;LF322;450;AKL1;;12,43;40;18000;;;;B1;HV;;;;
CT540CRPAA02;Tekercs zéger;0,0077;600;330;230;110;48;;600;LF321;600;AKL1;;5,62;48;28800;;;;D/E;HV;;;;
E505MGGAA01;ECV szelep Fox&Dragon;0,105;48;385;210;100;72;;48;LF532;96;AKL1;;6,04;72;3456;;;;B2;HV;;;;
F518FYHAB02;Cylinder tömítés;0,0087;1000;300;290;120;40;;1000;LF321;800;AKL1;;9,7;40;40000;;;;B1;HV14;;;;
CT520CRPAA03;C-klip;0,00054;9000;205;205;77;100;;9000;LF221;3600;AKL1;;5,86;100;900000;;;;A1;HV;;;;
CT500CRPBB03;Cylinder-zéger;0,001407;4000;255;178;130;80;;4000;LF221;1500;AKL1;;6,628;80;320000;;;;A2;HV;;;;
CF551CRPAA03;Csapágy alátét;0,026;420;250;210;100;32;;420;LF322;360;AKL1;;11,92;32;13440;;;;B1;VS&HV;;;;
CF551CRPAK03;Csapágy alátét;0,042;300;250;210;100;32;;300;LF322;360;AKL1;;13,6;32;9600;;;;B1;VS&HV;;;;
CF551CRPAL03;Csapágy alátét;0,042;300;250;210;100;32;;300;LF322;360;AKL1;;13,6;32;9600;;;;B1;VS&HV;;;;
CF551CRPAM03;Csapágy alátét;0,042;300;250;210;100;32;;300;LF322;360;AKL1;;13,6;32;9600;;;;B1;VS&HV;;;;
CT500CRPCC02;ECV zéger;0,00141;6000;335;220;100;1;;6000;LF322;6000;AKL1;;9,46;1;6000;;;;B2;HV;;;;
E505MGGAA01;ECV Fox&Dragon;0,105;48;385;210;100;72;;48;LF532;96;AKL1;;6,04;72;3456;;;;B2;HV;;;;
CF572CRPAA02;Kuplung alátét;0,00081;10000;220;180;180;80;;10000;LF211;1000;AKL1;;9,1;80;800000;;;;D/E;VS&HV;;;;
CF572CRPAB02;Kuplung alátét;0,0006;10000;220;180;180;80;;10000;LF211;1000;AKL1;;7;80;800000;;;;D/E;VS&HV;;;;
CF572CRPAC02;Kuplung alátét;0,00056;10000;220;180;180;80;;10000;LF211;1000;AKL1;;6,6;80;800000;;;;D/E;VS&HV;;;;
CF572CRPAD02;Kuplung alátét;0,00062;10000;220;180;180;80;;10000;LF211;1000;AKL1;;7,2;80;800000;;;;D/E;VS&HV;;;;
CF572CRPAE02;Kuplung alátét;0,00068;10000;220;180;180;80;;10000;LF211;1000;AKL1;;7,8;80;800000;;;;D/E;VS&HV;;;;
CF572CRPAF02;Kuplung alátét;0,0007;10000;220;180;180;80;;10000;LF211;1000;AKL1;;8;80;800000;;;;D/E;VS&HV;;;;
CF572CRPAG02;Kuplung alátét;0,0012;10000;220;180;180;80;;10000;LF211;1000;AKL1;;;80;800000;;;;D/E;VS&HV;;;;
VPBK2H-19D659-AA;Szívószelep;;VS19;;;;;;;;;AKL1;;;;;;;;;VS19;;;;
VPBK2H-19D772-AA;Nyomószelep;;VS19;;;;;;;;;AKL1;;;;;;;;;VS19;;;;
VPBK2H-19D773-AA;Nyomószelep határoló;;VS19;;;;;;;;;AKL1;;;;;;;;;VS19;;;;
VPBK2H-19D774-AA;Szeleptartó;;VS19;;;;;;;;;AKL1;;;;;;;;;VS19;;;;
VPBK2H-19D970-EB;Rear head tömítés;;VS19;;;;;;;;;AKL1;;;;;;;;;VS19;;;;
